Table Name,nz Count,sf Count,Diff1,nz Filter,nz Count with Filter,sf FIlter,sf Count with Filter,Diff2,Dupes in NZ,Dupes in SF,Dupes in NZ with filter,Dupes in SF with,Max Audit ID
FCT_P3_RB_RECUR_EFF_AGRMT_LN_ITEM_MNTH_AGG,45008893,45587862,-578969,WHERE CURRENT_IND <>120,45008893,,45587862,-578969,110670,12240,110670,12240,308
FCT_P3_MNTH_RTOLRV_AGG,5223337,5179919,43418,WHERE CURRENT_IND <>120,5223337,,5179919,43418,,,,,308
PVW_ORG_BUS_UNIT,N/A,N/A,N/A,WHERE CURRENT_IND <>120,4367,,N/A,N/A,N/A,N/A,N/A,N/A,N/A
PVW_P3_PRSNL_CUR_SUPR,1269957,755735,514222,WHERE CURRENT_IND <>120,1269957,,755735,514222,,,,,308
PVW_FCT_P3_AGRMT_VALUE_DTL_APPLIED_RATE,3483929051,3440638426,43290625,WHERE CURRENT_IND <>120,3483834873,,3440638426,43196447,94178,,,,308
PVW_FCT_P3_RB_AGRMT_LN_ITEM_MNTH_AGG,47037699,46771963,265736,WHERE CURRENT_IND <>120,N/A,,46771963,N/A,44383973,44118363,N/A,N/A,308
PVW_FCT_P3_RTOLS_RB_RECUR_EFF_MNTH_AGG,7598917,7981244,-382327,WHERE CURRENT_IND <>120,N/A,,7981244,N/A,7598899,7981227,N/A,N/A,308
PVW_FCT_P3_PI_OPP_AGRMT_LN_ITEM_MNTH_AGG,7302860,18800176,-11497316,WHERE CURRENT_IND <>120,N/A,,18800176,N/A,4036058,10532736,N/A,N/A,308
PVW_FCT_P3_RB_AGRMT_MNTH_AGG,3490375,4075612,-585237,WHERE CURRENT_IND <>120,N/A,,4075612,N/A,1200619,1783754,N/A,N/A,308
PVW_FCT_P3_RB_RECUR_EFF_AGRMT_MNTH_AGG,37043735,37620994,-577259,WHERE CURRENT_IND <>120,N/A,,37620994,N/A,34844791,35375920,N/A,N/A,308
PVW_FCT_P3_PI_AGRMT_LN_ITEM_MNTH_AGG,886879401,883536418,3342983,WHERE CURRENT_IND <>120,N/A,,883536418,N/A,872460414,869117881,N/A,N/A,308
PVW_FCT_P3_RTOLS_PI_RECUR_EFF_MNTH_AGG,36355869,41597448,-5241579,WHERE CURRENT_IND <>120,N/A,,41597448,N/A,36355849,41597429,N/A,N/A,308
PVW_FCT_P3_PI_AGRMT_MNTH_AGG,62873730,62669388,204342,WHERE CURRENT_IND <>120,N/A,,62669388,N/A,49414741,49296697,N/A,N/A,
PVW_FCT_P3_PI_OPP_AGRMT_MNTH_AGG,1933155,5836017,-3902862,WHERE CURRENT_IND <>120,N/A,,5836017,N/A,3,,N/A,N/A,308
PVW_FCT_P3_PI_RECUR_EFF_AGRMT_MNTH_AGG,637909581,646418525,-8508944,WHERE CURRENT_IND <>120,N/A,,646418525,N/A,625306231,633529736,N/A,N/A,308
PVW_AGRMT_LN_ITEM_FEE,392470813,215048522,177422291,WHERE CURRENT_IND <> 120,392470745,,215048522,177422223,68,,,,308
PVW_FCT_P3_CSTMR_FEE_CMPLNC_AGG,1638849803,1343326537,295523266,WHERE CURRENT_IND <>120,66105223,,1343326537,-1277221314,1572744580,1281272053,,1281272053,308
PVW_FCT_P3_CSTMR_FEE_CMPLNC,3462416982,2850043420,612373562,WHERE CURRENT_IND <>120,3462416982,,2850043420,612373562,,,,,308
